mdm_id,lud
17330485,2020-03-25T01:30:22.198Z
17330488,2020-03-25T05:28:54.052Z
17330487,2020-03-25T09:38:57.592Z
17330479,2020-03-25T01:18:15.633Z
17330494,2020-03-25T01:07:18.519Z
17330495,2020-03-25T07:34:12.982Z
17330500,2020-03-25T03:34:04.036Z
17330497,2020-03-25T12:17:35.173Z
17330493,2020-03-25T03:12:21.309Z
17330505,2020-03-25T09:54:25.443Z
17330504,2020-03-25T10:28:27.788Z
17330507,2020-03-25T10:27:35.066Z
17330512,2020-03-25T03:57:52.876Z
17330510,2020-03-25T13:55:55.764Z
17330517,2020-03-25T13:52:13.693Z
17330518,2020-03-24T23:12:40.510Z
17330539,2020-03-25T13:23:35.189Z
17330535,2020-03-25T03:54:55.202Z
17330540,2020-03-24T22:59:48.635Z
17330534,2020-03-25T04:54:34.780Z
17330530,2020-03-24T23:43:48.811Z
17330554,2020-03-25T02:15:34.455Z
17330552,2020-03-25T07:47:38.505Z
17330562,2020-03-25T12:04:15.584Z
17330564,2020-03-25T04:14:04.800Z
17330557,2020-03-25T11:36:49.861Z
17330560,2020-03-25T07:43:38.551Z
17330563,2020-03-25T08:29:18.170Z
17330572,2020-03-27T07:34:46.167Z
17330577,2020-03-24T21:47:10.309Z
17330575,2020-03-25T12:12:28.699Z
17330582,2020-03-26T10:56:58.903Z
17330571,2020-03-25T12:46:24.967Z
17332748,2020-03-25T10:09:30.646Z
17332753,2020-03-24T21:34:49.301Z
17332760,2020-03-24T21:38:55.315Z
17332792,2020-03-25T11:49:38.103Z
17332796,2020-03-25T10:37:50.510Z
17332813,2020-03-25T07:53:09.069Z
17332820,2020-03-25T01:18:57.039Z
17332823,2020-03-24T22:33:40.661Z
17332840,2020-03-25T02:04:04.095Z
17332833,2020-04-02T07:34:30.986Z
17332847,2020-03-24T22:45:24.460Z
17332850,2020-03-24T23:56:54.141Z
17332858,2020-03-24T23:14:09.125Z
17332852,2020-03-25T08:30:42.924Z
17332861,2020-03-25T04:56:51.415Z
17332854,2020-04-02T07:34:11.243Z
17332871,2020-03-25T03:59:00.475Z
